x,y,luminosity_counts,hlr_pixel,q,theta,n
3503.8,42.9,2.16877,1.751,0.74,80.2,4
1588.0,48.7,5.49425,2.020,0.97,71.7,4
1196.9,45.9,4.55533,2.636,0.62,42.9,4
2837.2,41.1,2.15885,1.919,0.80,-49.8,4
1055.2,70.7,15.32866,2.474,0.57,-83.5,4
6.4,63.4,9.34047,4.539,0.37,-68.3,4
3226.4,51.7,9.39104,2.662,0.80,-13.5,4
1247.8,51.9,4.57055,3.275,0.44,-75.1,4
2543.6,47.2,3.80761,1.866,0.86,-18.4,4
3474.6,44.5,2.24050,1.722,0.79,31.7,4
1108.3,40.4,1.09683,1.393,0.58,20.0,4
3785.3,68.9,16.38646,4.415,0.50,-44.2,4
922.4,55.7,8.00172,2.675,0.72,-59.5,4
2590.1,68.0,28.89224,3.729,0.74,-2.4,4
3009.7,51.9,6.84600,2.823,0.81,69.4,4
2110.9,47.7,1.80290,1.735,0.48,54.7,4
1725.3,48.8,5.14912,2.657,0.69,9.6,4
1799.6,52.3,4.73307,2.862,0.66,3.7,4
2209.2,58.9,9.76242,5.438,0.61,-45.9,4
2975.2,54.7,3.38210,2.943,0.47,-66.6,4
2865.3,52.8,3.18914,2.186,0.69,-22.0,4
1704.4,48.2,1.73293,2.155,0.60,71.1,4
3640.8,45.4,2.70874,2.781,0.60,-16.8,4
793.2,66.8,7.06749,3.093,0.57,82.6,4
3121.4,58.6,10.65874,3.353,0.87,28.7,4
3721.7,51.6,2.25227,1.865,0.56,-45.5,4
2674.5,46.5,2.43245,2.194,0.45,0.7,4
1855.0,74.0,14.90726,3.454,0.58,83.4,4
2371.5,67.0,27.10549,2.598,0.85,-37.4,4
3133.0,56.9,4.95443,3.304,0.79,39.9,4
2367.1,57.0,3.11407,2.156,0.68,-48.5,4
662.4,73.9,19.30182,3.270,0.67,-29.6,4
3897.2,71.4,10.68208,2.602,0.82,76.9,4
1829.8,58.8,6.21795,2.290,0.83,-5.8,4
2000.3,60.7,5.49735,4.485,0.39,35.8,4
3165.3,101.8,16.34892,2.140,0.85,78.8,4
2764.8,71.8,12.81242,3.257,0.97,-9.6,4
320.3,64.6,5.14386,2.004,0.74,32.9,4
1590.0,62.4,3.22598,1.864,0.83,-32.4,4
3592.3,68.1,6.15775,2.195,0.88,72.8,4
1704.3,63.1,5.13396,2.751,0.58,-9.1,4
2550.9,66.7,7.22986,2.291,0.97,62.8,4
2544.8,62.6,3.74289,3.540,0.62,38.7,4
3285.5,59.8,2.56621,2.258,0.76,-3.0,4
2579.2,68.3,4.80979,2.118,0.68,40.5,4
3413.5,66.0,3.42142,1.938,0.74,-67.6,4
1387.6,66.4,5.59477,2.535,0.85,-2.8,4
620.6,63.5,2.00091,1.638,0.96,-73.7,4
1745.6,62.8,2.02201,2.128,0.57,70.9,4
3276.2,64.2,2.78492,1.814,0.80,24.4,4
524.2,72.5,5.62952,2.373,0.93,66.6,4
1715.1,67.4,1.82923,1.558,0.76,-69.8,4
943.2,62.4,1.13060,1.292,0.63,18.0,4
1240.9,69.8,2.25697,2.019,0.80,-54.0,4
408.9,78.5,11.17321,2.487,0.74,44.5,4
52.2,76.2,10.07841,1.981,0.93,-31.3,4
849.9,70.9,5.36802,2.246,0.92,-63.3,4
2938.4,100.8,9.28326,2.602,0.80,-16.8,4
1985.2,92.6,32.33100,3.958,0.76,-15.9,4
389.2,67.2,1.19928,1.540,0.35,-44.1,4
2527.5,90.5,18.43195,2.790,0.85,68.1,4
4101.7,75.3,4.03003,2.488,0.98,-18.0,4
529.2,70.3,4.00142,3.261,0.63,70.1,4
1804.9,86.8,14.87970,2.277,0.98,-89.7,4
3558.7,81.5,11.61858,1.985,0.91,-89.2,4
2009.2,76.2,5.72836,1.865,0.86,83.8,4
3107.2,71.7,3.14261,2.142,0.92,33.4,4
4033.9,69.3,1.83388,1.693,0.48,19.7,4
1705.6,79.8,6.89981,2.599,0.74,51.1,4
3715.9,77.3,4.53382,1.952,0.79,-14.4,4
1852.7,78.0,7.12589,1.724,0.95,80.5,4
1898.9,78.7,7.27084,2.515,0.87,25.4,4
1089.2,68.4,1.47468,1.665,0.57,20.7,4
3427.8,131.1,49.61285,4.519,0.56,89.1,4
3147.0,72.0,2.24695,2.283,0.55,-46.3,4
2516.9,78.2,2.24253,1.523,0.73,-85.7,4
1943.1,75.6,2.31616,1.864,0.70,-56.4,4
169.8,83.7,8.37223,2.215,0.56,37.5,4
1645.3,78.9,2.98462,2.011,0.69,-62.7,4
811.0,79.1,2.94522,2.039,0.79,12.7,4
779.8,73.8,1.92358,1.932,0.77,44.8,4
586.7,94.4,12.12383,3.739,0.75,15.0,4
2843.6,90.0,15.64904,2.518,0.89,17.1,4
2692.1,80.1,4.78878,2.392,0.75,35.0,4
4197.9,110.1,11.71926,4.207,0.31,85.3,4
3138.1,93.8,27.31481,3.573,0.92,25.4,4
1413.1,75.9,1.44004,1.362,0.82,46.9,4
1021.0,81.7,2.78059,2.247,0.58,-72.7,4
4161.4,78.3,1.24419,1.301,0.59,32.8,4
2170.0,78.0,2.74307,1.922,0.58,-15.3,4
1217.3,96.8,18.43486,2.352,0.72,76.8,4
3056.4,84.0,3.65696,2.792,0.56,50.4,4
773.6,84.1,3.08195,2.473,0.69,-33.2,4
1186.4,81.7,4.91585,2.608,0.71,-3.8,4
2400.3,82.5,2.13251,2.125,0.52,89.9,4
2114.7,82.4,4.91060,2.074,0.72,-8.7,4
1320.7,79.9,1.58058,1.612,0.72,-21.0,4
2721.7,82.3,4.39281,3.320,0.74,65.2,4
1703.7,113.0,51.55503,2.765,0.66,77.2,4
3651.8,94.9,9.56031,2.477,0.90,75.3,4
4047.2,94.1,9.11789,2.902,0.73,-51.3,4
1649.0,85.9,4.92602,3.041,0.79,51.8,4
3611.2,100.7,11.69095,3.085,0.69,-47.4,4
3213.0,92.2,10.50108,2.601,0.85,-29.5,4
2262.7,102.4,46.73143,1.795,0.86,51.7,4
2184.6,97.7,7.38266,2.817,0.67,-80.3,4
1665.2,95.4,5.10006,2.428,0.64,-83.9,4
3036.4,91.4,4.72439,2.326,0.77,-81.9,4
2057.2,84.0,2.05949,1.690,0.81,-3.4,4
1349.6,99.8,5.92002,4.609,0.37,-82.2,4
1275.5,103.8,12.29318,4.742,0.68,40.0,4
3901.3,93.3,5.47418,4.108,0.78,82.1,4
2612.5,91.3,4.68839,1.749,0.78,8.2,4
1020.8,91.1,3.73842,1.706,0.92,-55.6,4
2659.6,86.2,1.09963,1.379,0.60,-72.0,4
2820.1,89.4,3.00699,1.767,0.77,11.6,4
1856.5,92.7,3.40734,2.434,0.64,48.7,4
3445.4,88.2,2.82639,1.847,0.76,0.3,4
949.7,94.1,3.17818,1.829,0.68,-63.2,4
3908.4,91.7,3.99128,2.447,0.62,7.9,4
3898.3,99.9,7.32369,2.651,0.70,-73.3,4
3964.4,95.2,3.48959,2.056,0.92,73.8,4
1245.0,95.0,3.62635,1.663,0.98,-29.0,4
3269.0,90.0,1.97955,1.941,0.98,-30.7,4
3685.5,113.2,35.10888,2.897,0.54,26.5,4
30.8,100.8,6.69805,1.676,0.88,88.2,4
3068.9,98.5,5.69979,1.700,0.80,55.6,4
2477.4,98.2,7.49125,2.610,0.80,26.5,4
3039.9,99.5,6.67836,2.301,0.62,28.7,4
2733.5,99.8,4.61308,2.383,0.73,81.8,4
2015.9,97.1,3.36710,1.750,0.95,-33.1,4
2722.8,98.4,3.79711,1.756,0.69,39.3,4
1344.9,93.1,2.10885,1.935,0.79,47.5,4
3447.3,98.6,3.53054,2.313,0.49,-7.5,4
3076.5,96.5,2.34874,1.755,0.78,-0.3,4
1761.8,101.4,6.36379,2.278,0.84,24.6,4
2248.0,107.5,12.13163,2.389,0.69,-19.0,4
1907.1,111.1,8.16777,3.286,0.54,89.6,4
3394.0,103.6,4.87297,1.523,0.95,33.8,4
251.1,101.1,3.23102,1.851,0.78,-52.2,4
1370.4,96.3,3.09399,2.907,0.52,13.0,4
1988.5,103.5,7.12453,2.128,0.90,21.9,4
3057.2,122.7,38.10747,3.074,0.82,70.5,4
4146.6,106.6,10.32355,2.491,0.75,17.7,4
3826.0,102.2,3.67892,2.415,0.63,-78.3,4
980.8,99.5,3.13517,1.835,0.94,-78.3,4
3567.2,100.6,2.28871,2.031,0.74,-55.0,4
1689.0,100.2,2.22383,1.923,0.79,-88.9,4
967.1,100.3,1.63967,1.384,0.71,73.3,4
1263.6,108.8,16.76587,2.516,0.82,5.6,4
1715.3,109.0,7.41829,4.006,0.52,-34.2,4
4134.7,101.6,3.23548,2.737,0.54,60.4,4
4109.6,101.2,3.28124,1.955,0.95,0.9,4
341.0,120.2,8.86206,3.130,0.53,80.0,4
4118.1,105.1,4.12326,2.103,0.87,-66.5,4
1256.4,111.1,13.21043,2.420,0.97,-5.7,4
2913.3,101.1,1.86680,1.426,0.70,14.9,4
1462.3,119.5,26.08144,2.249,0.80,-37.4,4
2520.3,111.9,4.64912,1.806,0.62,86.9,4
4155.2,106.8,5.65961,1.812,0.88,-12.0,4
3781.9,107.5,4.35836,2.625,0.54,-13.5,4
1061.7,101.9,2.34489,1.804,0.50,-25.6,4
3893.7,110.7,6.95422,2.096,0.80,35.6,4
1721.2,108.4,4.65735,2.845,0.70,19.1,4
349.2,105.4,3.15472,1.779,0.88,1.1,4
296.3,103.1,2.44547,1.925,0.70,17.6,4
3349.9,118.7,8.21775,2.637,0.58,64.2,4
3532.3,120.5,6.21628,3.122,0.56,73.2,4
2670.4,119.2,4.44559,2.121,0.85,-31.4,4
4142.3,110.2,4.99831,2.280,0.77,-44.4,4
2986.1,109.9,3.57512,2.292,0.97,36.4,4
2307.7,116.0,6.32147,3.024,0.69,-39.6,4
4055.8,108.3,1.72602,1.627,0.71,71.0,4
4019.1,108.7,2.54242,2.099,0.43,29.5,4
1858.0,106.0,1.48841,1.389,0.59,42.7,4
3523.1,132.4,17.41169,3.101,0.42,58.3,4
3541.7,124.9,33.31234,2.434,0.85,-1.1,4
1679.2,122.1,33.63528,1.721,0.91,62.8,4
2151.2,114.6,5.44807,2.087,0.79,-50.2,4
2694.1,111.8,4.89305,1.767,0.89,18.8,4
643.5,112.0,2.08644,2.026,0.39,79.0,4
1447.6,109.7,1.82149,1.692,0.72,-24.2,4
370.1,109.0,2.45717,2.006,0.96,58.3,4
3923.6,123.7,8.80673,2.327,0.86,-87.5,4
2162.0,116.1,6.65792,2.907,0.67,4.2,4
3295.5,119.3,5.95174,1.882,0.72,30.4,4
3782.8,114.6,2.02912,1.655,0.67,-47.3,4
3877.5,130.3,19.48701,2.285,0.78,72.1,4
3227.3,128.3,8.45483,2.797,0.90,57.1,4
480.1,124.7,11.00023,5.073,0.79,-42.8,4
765.3,122.6,6.16766,3.197,0.71,69.2,4
751.5,115.3,1.82913,1.812,0.50,82.9,4
418.5,110.5,1.46421,1.560,0.44,-18.6,4
3722.7,188.1,28.79588,4.142,0.56,-82.2,4
1125.6,122.7,3.87960,2.251,0.79,65.9,4
1905.7,125.4,7.70756,2.689,0.81,17.3,4
1762.7,126.0,5.85880,2.316,0.68,83.4,4
2628.7,132.9,8.14429,2.406,0.88,7.5,4
1098.3,119.2,3.02760,1.936,0.77,31.3,4
3321.0,114.5,1.52110,1.659,0.64,0.0,4
3678.4,154.4,6.28113,3.929,0.39,53.0,4
2508.2,125.6,5.87914,1.851,0.83,-59.4,4
374.1,125.5,5.93266,2.186,0.86,36.1,4
2297.0,129.1,11.90351,2.150,0.82,18.8,4
725.9,121.3,3.16114,2.252,0.68,-6.0,4
4158.4,130.0,4.09011,2.267,0.97,-44.5,4
639.0,127.8,3.99735,2.619,0.64,54.4,4
1911.2,122.8,6.46488,3.233,0.61,-2.9,4
3097.5,120.0,1.67605,1.892,0.62,89.7,4
1794.3,130.8,6.35604,2.696,0.70,36.2,4
3954.8,126.0,4.36517,2.151,0.75,-45.7,4
814.8,123.5,2.31118,2.349,0.44,-58.9,4
2454.8,120.9,1.64927,1.577,0.47,35.5,4
3515.0,132.1,8.34147,2.341,0.72,-17.1,4
2518.5,129.8,3.80757,2.358,0.55,58.5,4
2803.3,122.0,2.46485,2.291,0.99,-32.0,4
769.2,140.3,17.29419,2.686,0.83,-57.1,4
1572.4,125.5,3.57326,2.921,0.62,-84.1,4
757.9,125.6,4.68175,3.364,0.55,-28.6,4
1775.2,138.5,14.35340,2.898,0.48,-32.3,4
3080.7,131.2,4.89319,1.853,0.87,55.4,4
3036.8,126.6,2.20872,1.924,0.71,44.6,4
3252.2,139.7,9.12573,2.835,0.64,-76.5,4
1807.1,137.3,4.20017,2.680,0.55,-85.6,4
3868.9,127.4,4.09939,2.342,0.78,-30.9,4
3643.0,139.0,5.90748,2.361,0.75,75.0,4
4118.2,137.1,8.01109,2.856,0.59,-13.6,4
3204.5,142.8,10.85704,4.939,0.81,61.9,4
1658.0,140.4,10.21032,2.151,0.78,68.0,4
3136.4,137.2,4.98852,2.305,0.94,-0.9,4
2958.2,126.4,2.13380,1.816,0.39,5.4,4
2047.1,162.9,1.48845,1.498,0.77,45.4,4
3334.0,144.0,10.00130,3.050,0.84,-85.8,4
255.2,142.1,4.28467,2.679,0.63,-61.1,4
2000.4,137.4,2.82070,2.297,0.77,-36.1,4
1483.0,129.5,1.21392,1.376,0.62,-1.4,4
1521.5,148.4,34.05737,1.828,0.95,23.9,4
4087.7,145.9,10.50086,3.054,0.65,36.3,4
1425.6,145.8,9.58329,3.297,0.91,37.5,4
4053.0,138.0,4.66369,2.342,0.96,8.1,4
1916.0,135.5,2.72414,2.309,0.64,62.0,4
1139.6,135.7,3.62386,2.554,0.66,-33.4,4
1412.6,133.2,1.91029,2.006,0.59,-70.2,4
2207.4,149.5,7.70700,2.377,0.61,-75.0,4
1412.9,143.5,9.47597,1.776,0.96,37.8,4
3130.2,139.1,5.42062,2.214,0.70,-14.0,4
2748.1,152.4,44.11850,2.803,0.60,5.6,4
3767.6,140.0,3.42130,2.560,0.74,51.5,4
290.5,156.0,15.21098,4.541,0.35,-30.7,4
690.6,140.9,5.95965,2.751,0.70,-32.6,4
994.3,165.3,30.25736,3.083,0.60,65.6,4
2870.0,137.0,1.25341,1.448,0.96,-90.0,4
1379.5,155.5,13.81799,2.740,0.75,68.0,4
1583.9,150.8,6.64938,2.100,0.75,52.9,4
1363.0,148.7,6.61006,2.527,0.67,22.4,4
614.0,148.1,7.23769,1.804,0.88,52.6,4
3961.0,153.4,22.91521,2.294,0.88,13.2,4
794.8,148.1,5.48936,2.339,0.68,-60.1,4
2237.3,149.0,8.23173,2.006,0.96,5.2,4
1889.6,148.9,6.90081,2.381,0.90,71.6,4
3328.6,141.8,3.54944,2.630,0.75,59.5,4
3326.0,147.8,5.52445,3.221,0.73,81.2,4
3337.3,148.9,8.43844,2.436,0.87,-20.6,4
266.8,149.0,5.24814,3.156,0.40,36.7,4
1484.3,145.7,2.13236,1.625,0.82,61.5,4
3086.2,143.6,2.40737,1.928,0.63,-22.9,4
3774.9,141.0,3.90282,3.166,0.81,1.8,4
4066.7,179.4,32.38068,3.571,0.39,-73.2,4
1141.2,164.4,16.67554,3.104,0.85,-87.2,4
2905.3,149.5,6.61631,2.190,0.83,87.8,4
1919.1,158.3,11.82032,2.944,0.64,14.2,4
3769.5,151.0,15.59563,6.793,0.90,-3.7,4
1262.2,194.4,39.17414,5.319,0.43,75.6,4
2681.5,158.8,12.73219,2.521,0.71,-71.3,4
1310.5,152.5,6.23584,2.266,0.84,-13.3,4
1517.6,156.2,6.19523,2.172,0.78,54.9,4
2738.5,161.9,21.74583,2.718,0.65,-24.6,4
3390.6,154.7,3.33367,2.341,0.56,64.2,4
3075.2,159.0,9.24057,2.341,0.80,-50.6,4
1167.0,170.1,9.21216,3.710,0.40,-75.1,4
1503.8,155.6,5.33812,2.273,0.84,-72.5,4
1641.9,153.5,2.75513,1.699,0.93,73.3,4
792.6,153.7,2.62960,1.742,0.74,70.3,4
2724.8,150.5,2.09330,1.918,0.68,80.0,4
2964.0,148.0,3.03950,2.714,0.57,45.9,4
550.8,154.4,4.65012,2.548,0.78,40.0,4
140.4,162.5,8.87659,2.451,0.74,63.8,4
3809.2,157.5,13.94261,6.522,0.79,37.5,4
1988.1,157.7,7.34074,3.094,0.95,-49.7,4
2352.9,152.5,3.17237,2.924,0.53,-64.0,4
3303.2,150.0,2.40968,1.803,0.81,-9.3,4
1441.7,166.1,22.21833,1.901,0.92,57.5,4
1157.4,158.5,3.65635,1.755,0.78,-79.0,4
2210.6,181.5,54.15086,5.290,0.30,-20.5,4
1099.3,154.5,3.41936,1.933,0.52,-11.4,4
1608.4,160.7,6.13548,2.885,0.74,67.4,4
1432.0,155.4,2.00586,2.101,0.31,-33.1,4
843.7,155.4,3.28929,2.353,0.83,-76.3,4
1998.0,166.8,2.94260,2.663,0.26,-72.3,4
2315.5,162.5,4.06920,2.938,0.83,-29.5,4
1750.7,177.0,19.66792,3.317,0.75,82.8,4
3960.0,167.1,8.90469,2.390,0.75,-88.0,4
4030.6,162.2,3.90023,1.953,0.66,71.8,4
1269.5,157.6,4.00739,2.540,0.82,12.9,4
3464.8,152.4,1.16237,1.431,0.58,-18.0,4
1210.8,193.8,68.68986,3.343,0.80,-83.7,4
817.0,174.3,7.25321,3.040,0.45,68.3,4
2890.0,171.0,9.19826,2.883,0.75,57.1,4
532.3,167.1,5.05785,2.316,0.55,-54.9,4
3397.8,161.9,2.93601,1.962,0.74,57.5,4
2504.7,182.4,25.01887,3.020,0.72,-65.6,4
2849.6,160.4,1.53482,1.625,0.46,80.9,4
746.3,160.7,1.71383,1.405,0.80,52.2,4
525.2,158.1,1.56732,1.607,0.79,-45.5,4
944.6,163.9,6.21236,1.575,0.88,22.6,4
867.9,158.7,2.15750,2.096,0.90,7.9,4
2432.0,179.7,21.77411,3.616,0.82,19.3,4
3130.4,167.4,2.46799,2.421,0.29,72.0,4
2205.3,168.8,6.42769,3.098,0.52,30.8,4
82.2,168.1,5.04565,2.970,0.59,21.0,4
1494.4,166.1,2.89683,1.876,0.77,-75.2,4
1176.1,165.8,3.18830,2.340,0.62,-79.4,4
2023.7,163.4,2.08409,1.557,0.90,32.0,4
1557.2,161.2,1.54177,1.709,0.74,45.6,4
1205.9,161.3,1.40635,1.484,0.68,28.6,4
1913.3,184.1,6.67010,3.326,0.33,-87.2,4
1783.6,174.4,7.38442,2.565,0.84,-68.0,4
3898.5,171.0,4.27079,3.938,0.47,55.0,4
1246.1,166.9,4.04034,1.765,0.85,-50.6,4
245.0,167.1,2.88876,2.051,0.72,-54.3,4
2674.5,165.6,3.91990,2.726,0.64,-40.0,4
2238.0,165.8,2.48241,2.018,0.79,-87.3,4
2919.7,179.2,9.25481,3.155,0.79,40.6,4
2141.3,171.8,4.12411,1.901,0.68,-88.1,4
3698.8,166.5,2.25200,2.055,0.66,-50.0,4
3571.9,166.2,1.92730,1.878,0.48,-54.4,4
2522.4,167.4,1.82398,1.632,0.64,83.6,4
1980.8,167.6,5.42645,2.126,0.56,-1.0,4
1912.3,173.4,3.10976,1.960,0.63,58.3,4
91.1,170.8,3.77093,2.637,0.52,71.1,4
2864.4,168.9,2.52405,2.017,0.75,13.3,4
1077.8,176.8,9.55393,2.943,0.45,16.9,4
3492.3,172.0,3.72363,2.701,0.83,-17.9,4
1024.7,172.1,3.71163,1.972,0.76,37.8,4
3108.9,200.8,48.83546,4.309,0.90,48.4,4
3214.5,181.3,5.80170,2.353,0.65,65.4,4
2282.5,177.9,6.08852,1.871,0.93,21.5,4
3983.0,175.9,3.40590,2.358,0.57,84.7,4
2366.6,181.9,6.80491,2.853,0.63,45.0,4
4099.1,174.3,3.56494,1.972,0.68,-41.9,4
2695.4,171.6,2.14657,1.757,0.84,-46.3,4
4188.8,166.6,1.18721,1.513,0.57,19.1,4
977.9,213.2,68.98960,4.305,0.52,78.8,4
1249.1,185.2,10.13953,2.202,0.95,28.4,4
3235.4,187.7,16.99452,2.822,0.80,43.5,4
3531.3,177.3,6.53081,2.410,0.80,22.5,4
637.7,194.9,12.99903,2.792,0.65,85.4,4
3562.5,179.0,5.17554,2.333,0.69,-39.1,4
1015.2,178.5,4.04502,1.896,0.72,59.5,4
124.5,176.3,3.56047,2.349,0.72,79.1,4
