#    object_id         image_id         file_id            flux            radius          h_over_r     inclination.rad     theta.rad       image_pos.x      image_pos.y    
              39                0                0   3.06721366e+05   9.60641027e+00   1.77118822e-01   9.56966951e-01   4.42762708e+00   1.15632010e+02   3.71345381e+02
              40                0                0   3.78897485e+04   2.42311410e+01   1.23027226e-01   1.77960696e+00   5.93017275e+00   2.24006186e+02   9.57799492e+01
              41                0                0   6.71957214e+04   1.59713683e+01   1.57367649e-01   1.41438881e+00   2.23291756e-01   1.87993401e+02   3.15814884e+02
              42                0                0   1.12786784e+04   1.66375647e+01   1.40534332e-01   2.73344440e+00   3.39889651e+00   1.42372995e+02   4.44697971e+02
              43                0                0   2.53466745e+04   2.38917557e+01   1.30933423e-01   1.53216764e+00   3.67452976e+00   4.98983998e+02   1.76597544e+02
              44                0                0   4.10434496e+04   4.39837523e+00   1.35347873e-01   1.59326224e+00   3.22934984e+00   8.60141187e+01   2.34574329e+02
              45                0                0   1.20473389e+04   1.72019150e+01   1.22949445e-01   3.36663832e-01   3.41475978e+00   4.31897632e+02   9.48959528e+01
              46                0                0   2.01857474e+06   1.69132004e+01   1.74516458e-01   2.09726491e+00   2.71705575e+00   1.50348683e+02   1.77696643e+02
              47                0                0   2.38460797e+04   1.29533347e+01   1.52545149e-01   1.15338756e-01   3.84428178e+00   3.09896472e+02   3.95382299e+02
              48                0                0   4.37562812e+04   3.18223914e+00   1.40164559e-01   5.99985384e-01   4.45263961e+00   2.38268742e+02   3.15098258e+02
              49                0                0   1.17000850e+04   2.51320140e+00   1.72632688e-01   1.21767201e+00   2.70625466e+00   5.86691478e+01   3.88204136e+02
              50                0                0   4.85842345e+04   2.17105975e+01   1.61202340e-01   1.35699622e+00   4.23642269e+00   1.49953093e+02   4.33205093e+02
              51                0                0   1.17231022e+05   2.31229432e+01   1.25892269e-01   8.60866641e-01   3.73563505e+00   7.85213403e+01   2.42414325e+02
              52                0                0   1.56971677e+04   1.98261057e+01   1.89151550e-01   2.17648001e+00   2.44378962e+00   2.98154474e+02   8.77282269e+01
              53                0                0   3.31510603e+04   1.19194580e-01   1.17105971e-01   6.54759482e-01   3.78697948e+00   4.34129166e+02   2.50743697e+02
              54                0                0   2.88492980e+04   5.58497448e+00   1.94045437e-01   2.40940552e+00   3.94836560e+00   3.28522895e+02   1.48991706e+02
              55                0                0   5.77222978e+04   1.06214858e+01   1.54128193e-01   1.11998188e+00   1.47589776e-01   2.54945390e+02   4.28688783e+02
              56                0                0   3.93819389e+04   6.03190687e+00   1.05876052e-01   1.35128817e+00   5.91931438e+00   1.53297207e+02   3.37704133e+02
              57                0                0   3.79844373e+04   1.39720049e+01   1.20732784e-01   3.64150862e-01   8.61314012e-01   6.96186455e+00   3.69297095e+02
              58                0                0   4.71453970e+05   1.90308478e+01   1.39859628e-01   1.10753547e+00   2.44462273e+00   5.09204602e+01   1.80967969e+02
              59                0                0   3.71080709e+04   2.23035169e+01   1.03228697e-01   2.30646105e-01   1.50954313e+00   4.70149082e+02   4.24384526e+01
              60                0                0   1.11606339e+06   1.01132564e+01   1.09765391e-01   2.11529669e+00   1.42636074e+00   1.26888585e+01   4.20879450e+02
              61                0                0   9.47438499e+04   2.19138267e+01   1.07187123e-01   2.18287740e+00   5.55068599e+00   6.34628805e+01   3.82440146e+02
              62                0                0   1.57512459e+05   6.87160035e+00   1.56408332e-01   1.70992588e+00   5.26341038e+00   2.16936489e+02   1.78610517e+02
              63                0                0   2.92752393e+04   1.99754038e+01   1.32522818e-01   1.66899553e+00   5.13958989e-01   2.66089974e+02   1.85882664e+02
              64                0                0   3.70823626e+04   1.56290361e+01   1.57387146e-01   1.62098540e+00   4.85935412e+00   3.95007829e+02   1.13001393e+01
              65                0                0   1.49013329e+05   1.18317546e+01   1.31083851e-01   3.67114210e-02   6.53314685e-01   4.07855241e+01   3.23130230e+02
              66                0                0   2.93449974e+05   1.08115545e+01   1.41050666e-01   1.42068674e+00   4.03823166e+00   1.30594565e+02   1.49676609e+01
              67                0                0   5.11051471e+04   1.94110801e+01   1.78517651e-01   4.82542980e-01   4.85250601e+00   1.57763854e+02   2.82915475e+02
              68                0                0   3.37540607e+04   1.22123976e+01   1.29378719e-01   1.71028160e+00   8.16406267e-01   1.99561675e+02   3.55263691e+01
              69                0                0   4.59580056e+04   7.55783379e+00   1.27309981e-01   8.71210861e-01   4.87078793e+00   3.52671533e+02   3.73040015e+02
              70                0                0   4.56633115e+04   1.84710352e+01   1.81097129e-01   1.49409728e+00   2.49016838e+00   6.27221185e+01   3.01361393e+02
              71                0                0   2.93119988e+04   8.57983379e+00   1.02963661e-01   8.31124512e-01   3.74240249e+00   2.91787360e+02   6.03997538e+01
              72                0                0   5.62263963e+06   1.11678626e+01   1.48846341e-01   6.41342479e-01   5.83834748e+00   2.07620869e+02   5.11651247e+02
              73                0                0   2.70968428e+04   6.74195854e+00   1.15850761e-01   2.44490200e+00   4.72634565e+00   2.88946849e+02   5.82051992e+01
              74                0                0   1.80269708e+04   2.39060318e+01   1.27747716e-01   1.59736851e+00   4.72921208e+00   1.12914851e+02   3.43636820e+02
              75                0                0   4.20075639e+04   1.49932945e+00   1.45498788e-01   1.60682359e+00   6.28307302e+00   2.83273159e+02   1.79531657e+02
              76                0                0   4.69168335e+04   1.46229562e+01   1.38001428e-01   7.33564257e-01   2.71427563e+00   3.28359984e+02   2.43955081e+02
              77                0                0   3.75053222e+04   2.57113910e+00   1.85885772e-01   1.07929632e+00   5.80944748e+00   2.42192168e+02   3.26186025e+02
              78                0                0   3.44373060e+04   2.17260302e+00   1.07464134e-01   1.05589302e+00   5.01638937e+00   4.88467732e+01   3.13062000e+01
              79                0                0   1.46041675e+05   1.09339089e+01   1.62196587e-01   2.21255584e+00   2.14221261e+00   3.31830974e+02   1.57099025e+02
              80                0                0   1.86406453e+04   1.62589663e+01   1.96963646e-01   1.68301043e+00   3.65242656e+00   4.24867224e+02   3.96295330e+02
              81                0                0   2.92665791e+04   1.87457278e+00   1.71640592e-01   1.77920518e+00   5.32296416e-01   3.19940921e+02   2.02692738e+02
              82                0                0   6.73224399e+05   1.75703735e+01   1.46871823e-01   1.82576702e+00   5.03625502e+00   2.55970061e+01   6.91390884e+01
              83                0                0   3.25241072e+04   2.27259943e+01   1.14214056e-01   1.37255160e+00   5.47987438e+00   1.41850084e+02   4.67990507e+02
              84                0                0   3.87347600e+04   4.24472009e+00   1.38823783e-01   1.51796083e+00   3.47464029e+00   3.08615179e+02   5.96743898e+01
              85                0                0   2.43407970e+06   3.70386512e+00   1.43636780e-01   8.23054384e-01   9.13750583e-01   4.59462794e+02   6.09553842e+00
              86                0                0   2.29630230e+04   8.96676895e-01   1.38271355e-01   9.69242734e-01   2.84785105e+00   1.39825798e+02   1.47694834e+02
              87                0                0   4.32359923e+04   1.90067253e+01   1.37253696e-01   4.27758403e-01   2.10456362e+00   4.90565549e+02   3.24886499e+02
              88                0                0   1.44026264e+04   1.90467909e+01   1.57678401e-01   2.29547634e+00   4.20727304e+00   3.03529969e+02   1.09631380e+02
              89                0                0   1.40443429e+04   1.07742594e+01   1.96110002e-01   2.24505102e+00   2.91052113e-01   2.12832165e+02   3.81623328e+02
              90                0                0   3.74726336e+04   1.72151445e+01   1.02923532e-01   1.21105242e+00   4.72452555e-01   1.44763755e+02   4.48278278e+02
              91                0                0   4.08834917e+04   1.49401991e+01   1.24160898e-01   1.63433789e+00   3.70003688e-01   1.98406598e+02   2.70435678e+02
              92                0                0   7.89679592e+04   7.03564720e-01   1.41309390e-01   1.68314364e+00   4.48314733e+00   2.31744624e+02   4.26823090e+02
              93                0                0   8.36083629e+05   5.14930348e+00   1.24067990e-01   2.11514865e+00   1.67251491e+00   4.30272263e+02   2.40889473e+02
              94                0                0   3.29776564e+04   3.39553175e+00   1.25206994e-01   1.94928315e+00   4.52943694e+00   6.50635767e+01   5.12207292e+01
              95                0                0   2.09438770e+04   1.26495401e+01   1.45098487e-01   1.34853160e+00   2.91739975e+00   1.16764963e+02   3.43488866e+02
              96                0                0   3.79958371e+04   1.08211720e+01   1.22544166e-01   2.73693205e+00   1.10588831e-01   1.02681868e+01   8.18742383e+01
              97                0                0   1.82429374e+05   1.07345236e+01   1.91286406e-01   2.57820067e+00   4.86537818e+00   1.55875847e+02   1.53173371e+02
              98                0                0   6.06170679e+04   8.56979639e-01   1.33629143e-01   1.21609028e+00   2.76544860e+00   3.80090267e+02   1.00836682e+02
              99                0                0   2.07055329e+04   1.89519828e+01   1.29942072e-01   1.86493047e+00   4.08726947e-01   1.62670636e+02   1.89658733e+02
